product,price,brand,memory
Galaxy A16,105200.0,Samsung,256GB
Redmi Note 14 Pro,159900.0,Xiaomi,256GB
G85,129900.0,Motorola,256GB
Galaxy Z Flip 6,399900.0,Samsung,256GB
Galaxy A15,70300.0,Samsung,4GB
Edge 60 Pro,292500.0,Motorola,Unknown
Galaxy A35 5G,199900.0,Samsung,256GB
Galaxy A36 5G,188900.0,Samsung,256GB
Galaxy A56 5G,236300.0,Samsung,12GB
Galaxy A06,56900.0,Samsung,128GB
Galaxy A15,79900.0,Samsung,256GB
Galaxy S24 Ultra,961200.0,Samsung,Unknown
Edge 50 Fusion,179500.0,Motorola,256GB
Redmi Note 14 Pro,229900.0,Xiaomi,256GB
Redmi Note 14 Pro,263500.0,Xiaomi,512GB
X6C 8 RAM,89900.0,Honor,256GB
X6c,79900.0,Honor,256GB
X5b,53700.0,Honor,64GB
Galaxy S25 Ultra,742900.0,Samsung,512GB
iPhone 16 Pro,696900.0,Apple,128GB
X7c,109900.0,Honor,256GB
K10,48300.0,Blu,128GB
Galaxy A16,91800.0,Samsung,128GB
Edge 50 Fusion,159900.0,Motorola,256GB
Moto E15,52300.0,Motorola,64GB
Redmi Note 14 Pro 5G,199900.0,Xiaomi,256GB
Magic 7 Lite NFC,209900.0,Honor,256GB
iPhone 16,518900.0,Apple,128GB
iPhone 15,446900.0,Apple,128GB
Moto G15,79900.0,Motorola,256GB
X5b Plus,59900.0,Honor,256GB
Galaxy S24 FE,364700.0,Samsung,256GB
Galaxy S24 Ultra,476500.0,Samsung,256GB
Galaxy S25,490800.0,Samsung,256GB
400 Lite,170600.0,Honor,256GB
iPhone 16 Pro Max,820900.0,Apple,256GB
Magic 7 Lite,189900.0,Honor,256GB
iPhone 16e,444200.0,Apple,128GB
Galaxy A15 5G,108500.0,Samsung,128GB
F106 Pro,129900.0,Fossibot,Unknown
F101P,74900.0,Fossibot,Unknown
F101 Pro,104900.0,Fossibot,Unknown
G64,55300.0,Blu,256GB
Galaxy S21 FE,284500.0,Samsung,128GB
Galaxy S25,562600.0,Samsung,256GB
Moto G75,138000.0,Motorola,256GB
iPhone 16 Plus,600300.0,Apple,128GB
F105,69900.0,Fossibot,Unknown
